onset_date,cases
2017-06-26,2
2017-06-27,2
2017-06-28,2
2017-06-29,0
2017-06-30,0
2017-07-01,0
2017-07-02,0
2017-07-03,0
2017-07-04,0
2017-07-05,1
2017-07-06,0
2017-07-07,0
2017-07-08,0
2017-07-09,0
2017-07-10,0
2017-07-11,0
2017-07-12,0
2017-07-13,0
2017-07-14,0
2017-07-15,1
2017-07-16,0
2017-07-17,0
2017-07-18,1
2017-07-19,0
2017-07-20,1
2017-07-21,0
2017-07-22,1
2017-07-23,0
2017-07-24,1
2017-07-25,1
2017-07-26,0
2017-07-27,1
2017-07-28,1
2017-07-29,0
2017-07-30,1
2017-07-31,0
2017-08-01,0
2017-08-02,3
2017-08-03,2
2017-08-04,1
2017-08-05,1
2017-08-06,1
2017-08-07,1
2017-08-08,3
2017-08-09,0
2017-08-10,1
2017-08-11,1
2017-08-12,4
2017-08-13,3
2017-08-14,3
2017-08-15,2
2017-08-16,4
2017-08-17,4
2017-08-18,8
2017-08-19,5
2017-08-20,8
2017-08-21,5
2017-08-22,4
2017-08-23,5
2017-08-24,7
2017-08-25,2
2017-08-26,1
2017-08-27,8
2017-08-28,2
2017-08-29,4
2017-08-30,2
2017-08-31,9
2017-09-01,8
2017-09-02,8
2017-09-03,7
2017-09-04,9
2017-09-05,12
2017-09-06,12
2017-09-07,7
2017-09-08,12
2017-09-09,2
2017-09-10,15
2017-09-11,11
2017-09-12,5
2017-09-13,4
2017-09-14,2
2017-09-15,4
2017-09-16,7
2017-09-17,13
2017-09-18,6
2017-09-19,8
2017-09-20,4
2017-09-21,5
2017-09-22,3
2017-09-23,2
2017-09-24,2
2017-09-25,0
2017-09-26,1
2017-09-27,2
2017-09-28,3
2017-09-29,1
2017-09-30,3
2017-10-01,2
2017-10-02,0
2017-10-03,0
2017-10-04,1
2017-10-05,2
2017-10-06,1
2017-10-07,0
2017-10-08,1
2017-10-09,0
2017-10-10,1
2017-10-11,0
2017-10-12,0
2017-10-13,0
2017-10-14,1
2017-10-15,1
2017-10-16,0
2017-10-17,0
2017-10-18,0
2017-10-19,1
2017-10-20,0
2017-10-21,0
2017-10-22,0
2017-10-23,0
2017-10-24,0
2017-10-25,0
2017-10-26,0
2017-10-27,0
2017-10-28,0
2017-10-29,1
2017-10-30,0
2017-10-31,0
2017-11-01,0
2017-11-02,0
2017-11-03,0
2017-11-04,0
2017-11-05,1
