temperature,suitability
10.0,0.0
10.5,0.0
11.0,1.88203984e-08
11.5,1.28367618e-07
12.0,5.36961844e-07
12.5,2.82007101e-06
13.0,1.28234033e-05
13.5,5.25931083e-05
14.0,0.000182882567
14.5,0.000550222548
15.0,0.00148801416
15.5,0.00362102778
16.0,0.007920838
16.5,0.0157431781
17.0,0.0288100329
17.5,0.0486355377
18.0,0.0766192219
18.5,0.113479057
19.0,0.159883423
19.5,0.215867501
20.0,0.28075958
20.5,0.353556862
21.0,0.432786966
21.5,0.516530769
22.0,0.602553457
22.5,0.688071907
23.0,0.76983416
23.5,0.844406132
24.0,0.9081177
24.5,0.957439287
25.0,0.989023789
25.5,1.0
26.0,0.988217659
26.5,0.952537702
27.0,0.892959231
27.5,0.810907665
28.0,0.70945768
28.5,0.59367384
29.0,0.46987965
29.5,0.345600684
30.0,0.229671637
30.5,0.1328254
31.0,0.0650191949
31.5,0.0273829517
32.0,0.0102714042
32.5,0.00348809148
33.0,0.00103983518
33.5,0.00032794009
34.0,7.7496284e-05
34.5,1.17503236e-05
35.0,0.0
35.5,0.0
36.0,0.0
36.5,0.0
37.0,0.0
37.5,0.0
38.0,0.0
38.5,0.0
39.0,0.0
39.5,0.0
40.0,0.0
